"id_odsp","link_odsp","adv_stats","date","league","season","country","ht","at","fthg","ftag","odd_h","odd_d","odd_a","odd_over","odd_under","odd_bts","odd_bts_n"
"UFot0hit/","/soccer/germany/bundesliga-2011-2012/dortmund-hamburger-UFot0hit/",TRUE,2011-08-05,"D1","2012","germany","Borussia Dortmund","Hamburg SV",3,1,1.56,4.41,7.42,NA,NA,NA,NA
"Aw5DflLH/","/soccer/germany/bundesliga-2011-2012/augsburg-freiburg-Aw5DflLH/",TRUE,2011-08-06,"D1","2012","germany","FC Augsburg","SC Freiburg",2,2,2.36,3.6,3.4,NA,NA,NA,NA
"bkjpaC6n/","/soccer/germany/bundesliga-2011-2012/werder-bremen-kaiserslautern-bkjpaC6n/",TRUE,2011-08-06,"D1","2012","germany","Werder Bremen","Kaiserslautern",2,0,1.83,4.2,4.8,NA,NA,NA,NA
"CzPV312a/","/soccer/france/ligue-1-2011-2012/paris-sg-lorient-CzPV312a/",TRUE,2011-08-06,"F1","2012","france","Paris Saint-Germain","Lorient",0,1,1.55,4.5,9.4,NA,NA,NA,NA
"GUOdmtII/","/soccer/france/ligue-1-2011-2012/caen-valenciennes-GUOdmtII/",TRUE,2011-08-06,"F1","2012","france","Caen","Valenciennes",1,0,2.5,3.4,3.45,NA,NA,NA,NA
"lOpzwMkp/","/soccer/germany/bundesliga-2011-2012/hertha-berlin-nurnberg-lOpzwMkp/",TRUE,2011-08-06,"D1","2012","germany","Hertha Berlin","Nurnberg",0,1,2.06,3.75,3.95,NA,NA,NA,NA
"M7PhlM2C/","/soccer/france/ligue-1-2011-2012/brest-evian-tg-M7PhlM2C/",TRUE,2011-08-06,"F1","2012","france","Brest","Evian Thonon Gaillard",2,2,2.29,3.25,3.85,NA,NA,NA,NA
"QuWqjrYa/","/soccer/france/ligue-1-2011-2012/ac-ajaccio-toulouse-QuWqjrYa/",TRUE,2011-08-06,"F1","2012","france","AC Ajaccio","Toulouse",0,2,2.8,3.1,3.05,NA,NA,NA,NA
"UBZQ4smg/","/soccer/france/ligue-1-2011-2012/nice-lyon-UBZQ4smg/",TRUE,2011-08-06,"F1","2012","france","Nice","Lyon",1,3,4.5,3.55,2,NA,NA,NA,NA
"Wn69eU5B/","/soccer/germany/bundesliga-2011-2012/koln-wolfsburg-Wn69eU5B/",TRUE,2011-08-06,"D1","2012","germany","FC Cologne","VfL Wolfsburg",0,3,3,3.8,2.54,NA,NA,NA,NA
"WQGN5NXn/","/soccer/france/ligue-1-2011-2012/nancy-lille-WQGN5NXn/",TRUE,2011-08-06,"F1","2012","france","AS Nancy Lorraine","Lille",1,1,3.66,3.5,2.42,NA,NA,NA,NA
"x4HJ63It/","/soccer/france/ligue-1-2011-2012/montpellier-auxerre-x4HJ63It/",TRUE,2011-08-06,"F1","2012","france","Montpellier","AJ Auxerre",3,1,2.12,3.3,4.44,NA,NA,NA,NA
"xQ65dAj5/","/soccer/germany/bundesliga-2011-2012/vfb-stuttgart-schalke-xQ65dAj5/",TRUE,2011-08-06,"D1","2012","germany","VfB Stuttgart","Schalke 04",3,0,2.31,3.8,3.27,NA,NA,NA,NA
"xtklbWLh/","/soccer/germany/bundesliga-2011-2012/hannover-hoffenheim-xtklbWLh/",TRUE,2011-08-06,"D1","2012","germany","Hannover 96","TSG Hoffenheim",2,1,2.43,3.75,3.4,NA,NA,NA,NA
"zeViBqAP/","/soccer/france/ligue-1-2011-2012/marseille-sochaux-zeViBqAP/",TRUE,2011-08-06,"F1","2012","france","Marseille","Sochaux",2,2,1.5,4.4,9,NA,NA,NA,NA
"84Llk2m6/","/soccer/france/ligue-1-2011-2012/bordeaux-st-etienne-84Llk2m6/",TRUE,2011-08-07,"F1","2012","france","Bordeaux","St Etienne",1,2,1.82,3.65,5.5,NA,NA,NA,NA
"fLN0n0XO/","/soccer/france/ligue-1-2011-2012/dijon-rennes-fLN0n0XO/",TRUE,2011-08-07,"F1","2012","france","Dijon FCO","Stade Rennes",1,5,3.35,3.27,2.5,NA,NA,NA,NA
"K4vgcjya/","/soccer/germany/bundesliga-2011-2012/mainz-bayer-leverkusen-K4vgcjya/",TRUE,2011-08-07,"D1","2012","germany","Mainz","Bayer Leverkusen",2,0,3.45,3.4,2.5,NA,NA,NA,NA
"SEqvxt5j/","/soccer/germany/bundesliga-2011-2012/bayern-munich-b-monchengladbach-SEqvxt5j/",TRUE,2011-08-07,"D1","2012","germany","Bayern Munich","Borussia Monchengladbach",0,1,1.24,7.4,15,NA,NA,NA,NA
"4nHmUALb/","/soccer/england/premier-league-2011-2012/fulham-aston-villa-4nHmUALb/",FALSE,2011-08-13,"E0","2012","england","Fulham","Aston Villa",0,0,1.95,3.65,4.51,NA,NA,NA,NA
"4WY4SljB/","/soccer/england/premier-league-2011-2012/newcastle-utd-arsenal-4WY4SljB/",FALSE,2011-08-13,"E0","2012","england","Newcastle","Arsenal",0,0,3.6,3.55,2.25,NA,NA,NA,NA
"bgY8R85H/","/soccer/england/premier-league-2011-2012/qpr-bolton-bgY8R85H/",FALSE,2011-08-13,"E0","2012","england","QPR","Bolton",0,4,2.2,3.35,4.09,NA,NA,NA,NA
"bHbEI0Hh/","/soccer/france/ligue-1-2011-2012/sochaux-caen-bHbEI0Hh/",TRUE,2011-08-13,"F1","2012","france","Sochaux","Caen",1,2,2,3.4,4.7,NA,NA,NA,NA
"bw0Yaqcc/","/soccer/germany/bundesliga-2011-2012/schalke-koln-bw0Yaqcc/",TRUE,2011-08-13,"D1","2012","germany","Schalke 04","FC Cologne",5,1,1.67,4.2,6.14,NA,NA,NA,NA
"byqaawHU/","/soccer/france/ligue-1-2011-2012/lyon-ac-ajaccio-byqaawHU/",TRUE,2011-08-13,"F1","2012","france","Lyon","AC Ajaccio",1,1,1.3,5.8,14.58,NA,NA,NA,NA
"Ea52eLBS/","/soccer/germany/bundesliga-2011-2012/hoffenheim-dortmund-Ea52eLBS/",TRUE,2011-08-13,"D1","2012","germany","TSG Hoffenheim","Borussia Dortmund",1,0,4.9,3.8,1.88,NA,NA,NA,NA
"EkQZqjLo/","/soccer/england/premier-league-2011-2012/wigan-norwich-EkQZqjLo/",FALSE,2011-08-13,"E0","2012","england","Wigan","Norwich City",1,1,2.5,3.52,3.15,NA,NA,NA,NA
"I5sHJt2n/","/soccer/france/ligue-1-2011-2012/st-etienne-nancy-I5sHJt2n/",TRUE,2011-08-13,"F1","2012","france","St Etienne","AS Nancy Lorraine",1,0,2.25,3.2,3.95,NA,NA,NA,NA
"KhlsbNR9/","/soccer/germany/bundesliga-2011-2012/nurnberg-hannover-KhlsbNR9/",TRUE,2011-08-13,"D1","2012","germany","Nurnberg","Hannover 96",1,2,1.97,3.9,4.2,NA,NA,NA,NA
"lShocssG/","/soccer/germany/bundesliga-2011-2012/freiburg-mainz-lShocssG/",TRUE,2011-08-13,"D1","2012","germany","SC Freiburg","Mainz",1,2,3,3.52,2.6,NA,NA,NA,NA
"nB6hTUz5/","/soccer/england/premier-league-2011-2012/liverpool-sunderland-nB6hTUz5/",FALSE,2011-08-13,"E0","2012","england","Liverpool","Sunderland",1,1,1.45,4.75,10,NA,NA,NA,NA
"pYve0J1O/","/soccer/france/ligue-1-2011-2012/lorient-bordeaux-pYve0J1O/",TRUE,2011-08-13,"F1","2012","france","Lorient","Bordeaux",1,1,2.6,3.27,3.25,NA,NA,NA,NA
"QeIqVj6h/","/soccer/england/premier-league-2011-2012/blackburn-wolves-QeIqVj6h/",FALSE,2011-08-13,"E0","2012","england","Blackburn","Wolves",1,2,2.58,3.25,3.25,NA,NA,NA,NA
"t2kwa3C3/","/soccer/germany/bundesliga-2011-2012/hamburger-hertha-berlin-t2kwa3C3/",TRUE,2011-08-13,"D1","2012","germany","Hamburg SV","Hertha Berlin",2,2,2.12,3.6,3.98,NA,NA,NA,NA
"UPAXkaZk/","/soccer/germany/bundesliga-2011-2012/b-monchengladbach-vfb-stuttgart-UPAXkaZk/",TRUE,2011-08-13,"D1","2012","germany","Borussia Monchengladbach","VfB Stuttgart",1,1,2.94,3.65,2.6,NA,NA,NA,NA
"vFrDKMnt/","/soccer/france/ligue-1-2011-2012/rennes-paris-sg-vFrDKMnt/",TRUE,2011-08-13,"F1","2012","france","Stade Rennes","Paris Saint-Germain",1,1,2.66,3.25,3.1,NA,NA,NA,NA
"WUdMGvn5/","/soccer/france/ligue-1-2011-2012/valenciennes-brest-WUdMGvn5/",TRUE,2011-08-13,"F1","2012","france","Valenciennes","Brest",0,0,1.99,3.4,4.9,NA,NA,NA,NA
"x8cIHKWb/","/soccer/france/ligue-1-2011-2012/toulouse-dijon-x8cIHKWb/",TRUE,2011-08-13,"F1","2012","france","Toulouse","Dijon FCO",2,0,1.68,3.8,7,NA,NA,NA,NA
"z3BTjuKq/","/soccer/germany/bundesliga-2011-2012/wolfsburg-bayern-munich-z3BTjuKq/",TRUE,2011-08-13,"D1","2012","germany","VfL Wolfsburg","Bayern Munich",0,1,4.7,3.79,1.95,NA,NA,NA,NA
"29kj1anI/","/soccer/france/ligue-1-2011-2012/lille-montpellier-29kj1anI/",TRUE,2011-08-14,"F1","2012","france","Lille","Montpellier",0,1,1.6,4,8.19,NA,NA,NA,NA
"dUDqL6ro/","/soccer/england/premier-league-2011-2012/west-brom-manchester-united-dUDqL6ro/",FALSE,2011-08-14,"E0","2012","england","West Brom","Manchester Utd",1,2,6.2,4,1.69,NA,NA,NA,NA
"fqnr3LH5/","/soccer/france/ligue-1-2011-2012/auxerre-marseille-fqnr3LH5/",TRUE,2011-08-14,"F1","2012","france","AJ Auxerre","Marseille",2,2,3.95,3.31,2.24,NA,NA,NA,NA
"OIjn2uXB/","/soccer/france/ligue-1-2011-2012/evian-tg-nice-OIjn2uXB/",TRUE,2011-08-14,"F1","2012","france","Evian Thonon Gaillard","Nice",1,0,2.31,3.26,3.75,NA,NA,NA,NA
"pzdU0Psi/","/soccer/germany/bundesliga-2011-2012/bayer-leverkusen-werder-bremen-pzdU0Psi/",TRUE,2011-08-14,"D1","2012","germany","Bayer Leverkusen","Werder Bremen",1,0,1.91,4,4.3,NA,NA,NA,NA
"WzGcd1dM/","/soccer/germany/bundesliga-2011-2012/kaiserslautern-augsburg-WzGcd1dM/",TRUE,2011-08-14,"D1","2012","germany","Kaiserslautern","FC Augsburg",1,1,1.94,3.65,4.65,NA,NA,NA,NA
"xpXCQSKN/","/soccer/england/premier-league-2011-2012/stoke-city-chelsea-xpXCQSKN/",FALSE,2011-08-14,"E0","2012","england","Stoke City","Chelsea",0,0,4.4,3.5,2.04,NA,NA,NA,NA
"CQJ2BZ8q/","/soccer/england/premier-league-2011-2012/manchester-city-swansea-CQJ2BZ8q/",FALSE,2011-08-15,"E0","2012","england","Manchester City","Swansea",4,0,1.46,4.75,10,NA,NA,NA,NA
"WMIN4blq/","/soccer/germany/bundesliga-2011-2012/b-monchengladbach-wolfsburg-WMIN4blq/",TRUE,2011-08-19,"D1","2012","germany","Borussia Monchengladbach","VfL Wolfsburg",4,1,2.88,3.6,2.64,NA,NA,NA,NA
"0vWe9vtS/","/soccer/germany/bundesliga-2011-2012/koln-kaiserslautern-0vWe9vtS/",TRUE,2011-08-20,"D1","2012","germany","FC Cologne","Kaiserslautern",1,1,3,3.65,2.54,NA,NA,NA,NA
"2Pyjt8KA/","/soccer/england/premier-league-2011-2012/chelsea-west-brom-2Pyjt8KA/",FALSE,2011-08-20,"E0","2012","england","Chelsea","West Brom",2,1,1.31,6,13.55,NA,NA,NA,NA
"8G9ykJld/","/soccer/germany/bundesliga-2011-2012/dortmund-nurnberg-8G9ykJld/",TRUE,2011-08-20,"D1","2012","germany","Borussia Dortmund","Nurnberg",2,0,1.36,5.6,10.9,NA,NA,NA,NA
"A5DsExWN/","/soccer/france/ligue-1-2011-2012/brest-lyon-A5DsExWN/",FALSE,2011-08-20,"F1","2012","france","Brest","Lyon",1,1,4,3.3,2.24,NA,NA,NA,NA
"ADHR3I3k/","/soccer/germany/bundesliga-2011-2012/augsburg-hoffenheim-ADHR3I3k/",TRUE,2011-08-20,"D1","2012","germany","FC Augsburg","TSG Hoffenheim",0,2,3.11,3.6,2.44,NA,NA,NA,NA
"CzqwqAzh/","/soccer/england/premier-league-2011-2012/arsenal-liverpool-CzqwqAzh/",FALSE,2011-08-20,"E0","2012","england","Arsenal","Liverpool",0,2,2.37,3.4,3.45,NA,NA,NA,NA
"faYsrUkb/","/soccer/england/premier-league-2011-2012/aston-villa-blackburn-faYsrUkb/",FALSE,2011-08-20,"E0","2012","england","Aston Villa","Blackburn",3,1,1.69,3.8,6.6,NA,NA,NA,NA
"IV8qAKQL/","/soccer/germany/bundesliga-2011-2012/vfb-stuttgart-bayer-leverkusen-IV8qAKQL/",TRUE,2011-08-20,"D1","2012","germany","VfB Stuttgart","Bayer Leverkusen",0,1,2.31,3.7,3.3,NA,NA,NA,NA
"jHI6AgOk/","/soccer/england/premier-league-2011-2012/swansea-wigan-jHI6AgOk/",FALSE,2011-08-20,"E0","2012","england","Swansea","Wigan",0,0,2.04,3.65,4.2,NA,NA,NA,NA
"ljHSD2Rd/","/soccer/germany/bundesliga-2011-2012/bayern-munich-hamburger-ljHSD2Rd/",TRUE,2011-08-20,"D1","2012","germany","Bayern Munich","Hamburg SV",5,0,1.26,6.6,16.5,NA,NA,NA,NA
"ljPYFb1B/","/soccer/france/ligue-1-2011-2012/ac-ajaccio-evian-tg-ljPYFb1B/",TRUE,2011-08-20,"F1","2012","france","AC Ajaccio","Evian Thonon Gaillard",1,1,2.6,3.3,3.26,NA,NA,NA,NA
"pYb2uSZG/","/soccer/england/premier-league-2011-2012/everton-qpr-pYb2uSZG/",FALSE,2011-08-20,"E0","2012","england","Everton","QPR",0,1,1.46,4.59,9.6,NA,NA,NA,NA
"StGWCMt3/","/soccer/germany/bundesliga-2011-2012/werder-bremen-freiburg-StGWCMt3/",TRUE,2011-08-20,"D1","2012","germany","Werder Bremen","SC Freiburg",5,3,1.63,4.3,6.2,NA,NA,NA,NA
"tl4D8Ggo/","/soccer/france/ligue-1-2011-2012/dijon-lorient-tl4D8Ggo/",TRUE,2011-08-20,"F1","2012","france","Dijon FCO","Lorient",2,0,2.88,3.28,2.9,NA,NA,NA,NA
"vuIoDdoU/","/soccer/france/ligue-1-2011-2012/caen-lille-vuIoDdoU/",TRUE,2011-08-20,"F1","2012","france","Caen","Lille",1,2,4.3,3.36,2.1,NA,NA,NA,NA
"WEEwFIGH/","/soccer/france/ligue-1-2011-2012/bordeaux-auxerre-WEEwFIGH/",TRUE,2011-08-20,"F1","2012","france","Bordeaux","AJ Auxerre",1,1,1.89,3.45,5.4,NA,NA,NA,NA
"YeGvMwZe/","/soccer/england/premier-league-2011-2012/sunderland-newcastle-utd-YeGvMwZe/",FALSE,2011-08-20,"E0","2012","england","Sunderland","Newcastle",0,1,2.54,3.2,3.4,NA,NA,NA,NA
"YRfEE6s4/","/soccer/france/ligue-1-2011-2012/nice-toulouse-YRfEE6s4/",FALSE,2011-08-20,"F1","2012","france","Nice","Toulouse",1,1,3.1,3.1,2.78,NA,NA,NA,NA
"0Ed6GSCi/","/soccer/france/ligue-1-2011-2012/montpellier-rennes-0Ed6GSCi/",TRUE,2011-08-21,"F1","2012","france","Montpellier","Stade Rennes",4,0,2.4,3.2,4,NA,NA,NA,NA
"CnFrLcl2/","/soccer/england/premier-league-2011-2012/wolves-fulham-CnFrLcl2/",FALSE,2011-08-21,"E0","2012","england","Wolves","Fulham",2,0,2.76,3.3,2.92,NA,NA,NA,NA
"fydAFnSc/","/soccer/france/ligue-1-2011-2012/nancy-sochaux-fydAFnSc/",TRUE,2011-08-21,"F1","2012","france","AS Nancy Lorraine","Sochaux",1,2,2.24,3.35,3.9,NA,NA,NA,NA
"j3kJDQdA/","/soccer/france/ligue-1-2011-2012/paris-sg-valenciennes-j3kJDQdA/",TRUE,2011-08-21,"F1","2012","france","Paris Saint-Germain","Valenciennes",2,1,1.67,4,7.5,NA,NA,NA,NA
"lvg2H8co/","/soccer/france/ligue-1-2011-2012/marseille-st-etienne-lvg2H8co/",TRUE,2011-08-21,"F1","2012","france","Marseille","St Etienne",0,0,1.6,4.09,7.8,NA,NA,NA,NA
"M3FzCtd9/","/soccer/germany/bundesliga-2011-2012/hannover-hertha-berlin-M3FzCtd9/",TRUE,2011-08-21,"D1","2012","germany","Hannover 96","Hertha Berlin",1,1,2.31,3.7,3.3,NA,NA,NA,NA
"vZGzNJJk/","/soccer/england/premier-league-2011-2012/norwich-stoke-city-vZGzNJJk/",FALSE,2011-08-21,"E0","2012","england","Norwich City","Stoke City",1,1,2.94,3.35,2.74,NA,NA,NA,NA
"YkXosl54/","/soccer/england/premier-league-2011-2012/bolton-manchester-city-YkXosl54/",FALSE,2011-08-21,"E0","2012","england","Bolton","Manchester City",2,3,4.9,3.9,1.85,NA,NA,NA,NA
"z7JvB0BF/","/soccer/germany/bundesliga-2011-2012/mainz-schalke-z7JvB0BF/",TRUE,2011-08-21,"D1","2012","germany","Mainz","Schalke 04",2,4,2.46,3.68,3.15,NA,NA,NA,NA
"QVCWNa4q/","/soccer/england/premier-league-2011-2012/manchester-united-tottenham-QVCWNa4q/",FALSE,2011-08-22,"E0","2012","england","Manchester Utd","Tottenham",3,0,1.61,4.5,6.2,NA,NA,NA,NA
"vwm9GyYl/","/soccer/germany/bundesliga-2011-2012/hertha-berlin-vfb-stuttgart-vwm9GyYl/",TRUE,2011-08-26,"D1","2012","germany","Hertha Berlin","VfB Stuttgart",1,0,2.4,3.55,3.3,NA,NA,NA,NA
"0QSBhGQ1/","/soccer/france/ligue-1-2011-2012/lyon-montpellier-0QSBhGQ1/",TRUE,2011-08-27,"F1","2012","france","Lyon","Montpellier",2,1,1.72,3.7,6.4,NA,NA,NA,NA
"6F7IXGI1/","/soccer/england/premier-league-2011-2012/wigan-qpr-6F7IXGI1/",FALSE,2011-08-27,"E0","2012","england","Wigan","QPR",2,0,2.15,3.5,4.2,NA,NA,NA,NA
"bJFwOweL/","/soccer/germany/bundesliga-2011-2012/freiburg-wolfsburg-bJFwOweL/",TRUE,2011-08-27,"D1","2012","germany","SC Freiburg","VfL Wolfsburg",3,0,2.75,3.7,2.79,NA,NA,NA,NA
"C2F4CH2R/","/soccer/france/ligue-1-2011-2012/valenciennes-bordeaux-C2F4CH2R/",TRUE,2011-08-27,"F1","2012","france","Valenciennes","Bordeaux",1,2,2.65,3.14,3.35,NA,NA,NA,NA
"CtEdUSdJ/","/soccer/spain/primera-division-2011-2012/gijon-real-sociedad-CtEdUSdJ/",TRUE,2011-08-27,"SP1","2012","spain","Sporting Gijon","Real Sociedad",1,2,2.08,3.5,4.2,NA,NA,NA,NA
"dEc4HHIr/","/soccer/germany/bundesliga-2011-2012/hoffenheim-werder-bremen-dEc4HHIr/",TRUE,2011-08-27,"D1","2012","germany","TSG Hoffenheim","Werder Bremen",1,2,2.36,3.7,3.25,NA,NA,NA,NA
"EXAMtLeF/","/soccer/england/premier-league-2011-2012/chelsea-norwich-EXAMtLeF/",FALSE,2011-08-27,"E0","2012","england","Chelsea","Norwich City",3,1,1.2,8,23,NA,NA,NA,NA
"htFsNcAR/","/soccer/germany/bundesliga-2011-2012/kaiserslautern-bayern-munich-htFsNcAR/",TRUE,2011-08-27,"D1","2012","germany","Kaiserslautern","Bayern Munich",0,3,7.6,4.7,1.52,NA,NA,NA,NA
"hx7W2xJe/","/soccer/germany/bundesliga-2011-2012/bayer-leverkusen-dortmund-hx7W2xJe/",TRUE,2011-08-27,"D1","2012","germany","Bayer Leverkusen","Borussia Dortmund",0,0,3.4,3.65,2.29,NA,NA,NA,NA
"jRPmWlS6/","/soccer/spain/primera-division-2011-2012/valencia-santander-jRPmWlS6/",TRUE,2011-08-27,"SP1","2012","spain","Valencia","Racing Santander",4,3,1.41,5.2,9.8,NA,NA,NA,NA
"KABIs1t9/","/soccer/england/premier-league-2011-2012/blackburn-everton-KABIs1t9/",FALSE,2011-08-27,"E0","2012","england","Blackburn","Everton",0,1,3.36,3.35,2.48,NA,NA,NA,NA
"KSGZOJuF/","/soccer/germany/bundesliga-2011-2012/nurnberg-augsburg-KSGZOJuF/",TRUE,2011-08-27,"D1","2012","germany","Nurnberg","FC Augsburg",1,0,1.76,4.01,5.45,NA,NA,NA,NA
"MZT7gdBe/","/soccer/france/ligue-1-2011-2012/lorient-nancy-MZT7gdBe/",TRUE,2011-08-27,"F1","2012","france","Lorient","AS Nancy Lorraine",2,1,2.06,3.35,4.5,NA,NA,NA,NA
"O0NQQuB2/","/soccer/germany/bundesliga-2011-2012/hamburger-koln-O0NQQuB2/",TRUE,2011-08-27,"D1","2012","germany","Hamburg SV","FC Cologne",3,4,1.75,4.51,5.2,NA,NA,NA,NA
"O2rLz4Jh/","/soccer/spain/primera-division-2011-2012/granada-cf-betis-O2rLz4Jh/",FALSE,2011-08-27,"SP1","2012","spain","Granada","Real Betis",0,1,2.76,3.4,2.88,NA,NA,NA,NA
"Q7zaeItq/","/soccer/france/ligue-1-2011-2012/evian-tg-dijon-Q7zaeItq/",TRUE,2011-08-27,"F1","2012","france","Evian Thonon Gaillard","Dijon FCO",0,1,1.88,3.65,5.14,NA,NA,NA,NA
"rNNmGa32/","/soccer/france/ligue-1-2011-2012/nice-brest-rNNmGa32/",TRUE,2011-08-27,"F1","2012","france","Nice","Brest",0,0,2.2,3.2,4.22,NA,NA,NA,NA
"SzFQuuBL/","/soccer/england/premier-league-2011-2012/liverpool-bolton-SzFQuuBL/",FALSE,2011-08-27,"E0","2012","england","Liverpool","Bolton",3,1,1.4,5.3,10,NA,NA,NA,NA
"tKCErsR2/","/soccer/england/premier-league-2011-2012/aston-villa-wolves-tKCErsR2/",FALSE,2011-08-27,"E0","2012","england","Aston Villa","Wolves",0,0,2.14,3.4,4.09,NA,NA,NA,NA
"YBCVCpCG/","/soccer/france/ligue-1-2011-2012/auxerre-ac-ajaccio-YBCVCpCG/",TRUE,2011-08-27,"F1","2012","france","AJ Auxerre","AC Ajaccio",4,1,1.84,3.55,6.05,NA,NA,NA,NA
"Yu8B9Dwd/","/soccer/england/premier-league-2011-2012/swansea-sunderland-Yu8B9Dwd/",FALSE,2011-08-27,"E0","2012","england","Swansea","Sunderland",0,0,2.45,3.5,3.31,NA,NA,NA,NA
"2iMUPaQ8/","/soccer/germany/bundesliga-2011-2012/hannover-mainz-2iMUPaQ8/",TRUE,2011-08-28,"D1","2012","germany","Hannover 96","Mainz",1,1,2.39,3.5,3.4,NA,NA,NA,NA
"4xCdEwYE/","/soccer/france/ligue-1-2011-2012/sochaux-st-etienne-4xCdEwYE/",TRUE,2011-08-28,"F1","2012","france","Sochaux","St Etienne",2,1,2.72,3.2,3.13,NA,NA,NA,NA
"6uBz2dY1/","/soccer/germany/bundesliga-2011-2012/schalke-b-monchengladbach-6uBz2dY1/",TRUE,2011-08-28,"D1","2012","germany","Schalke 04","Borussia Monchengladbach",1,0,1.75,4,5.4,NA,NA,NA,NA
"Aa4VvaQR/","/soccer/england/premier-league-2011-2012/manchester-united-arsenal-Aa4VvaQR/",FALSE,2011-08-28,"E0","2012","england","Manchester Utd","Arsenal",8,2,1.4,5.5,9.19,NA,NA,NA,NA
"C88uY13B/","/soccer/spain/primera-division-2011-2012/zaragoza-real-madrid-C88uY13B/",TRUE,2011-08-28,"SP1","2012","spain","Real Zaragoza","Real Madrid",0,6,12.33,6.2,1.3,NA,NA,NA,NA
"GQE5zJYr/","/soccer/england/premier-league-2011-2012/newcastle-utd-fulham-GQE5zJYr/",FALSE,2011-08-28,"E0","2012","england","Newcastle","Fulham",2,1,2.36,3.25,3.65,NA,NA,NA,NA
"IuG0DcmL/","/soccer/france/ligue-1-2011-2012/toulouse-paris-sg-IuG0DcmL/",TRUE,2011-08-28,"F1","2012","france","Toulouse","Paris Saint-Germain",1,3,3.1,3.3,2.6,NA,NA,NA,NA
"MDMiFJI8/","/soccer/france/ligue-1-2011-2012/rennes-caen-MDMiFJI8/",TRUE,2011-08-28,"F1","2012","france","Stade Rennes","Caen",3,2,1.83,3.4,6,NA,NA,NA,NA
"OjIDYd3e/","/soccer/england/premier-league-2011-2012/west-brom-stoke-city-OjIDYd3e/",FALSE,2011-08-28,"E0","2012","england","West Brom","Stoke City",0,1,2.4,3.4,3.4,NA,NA,NA,NA
"p0J9Zxlk/","/soccer/england/premier-league-2011-2012/tottenham-manchester-city-p0J9Zxlk/",FALSE,2011-08-28,"E0","2012","england","Tottenham","Manchester City",1,5,3.15,3.48,2.54,NA,NA,NA,NA
"tvgGyp4n/","/soccer/spain/primera-division-2011-2012/sevilla-malaga-tvgGyp4n/",TRUE,2011-08-28,"SP1","2012","spain","Sevilla","Malaga",2,1,2.24,3.65,3.53,NA,NA,NA,NA
"UaoTYsl5/","/soccer/spain/primera-division-2011-2012/ath-bilbao-rayo-vallecano-UaoTYsl5/",TRUE,2011-08-28,"SP1","2012","spain","Athletic Bilbao","Rayo Vallecano",1,1,1.64,4,6.8,NA,NA,NA,NA
"Uq3pXLIH/","/soccer/spain/primera-division-2011-2012/getafe-levante-Uq3pXLIH/",TRUE,2011-08-28,"SP1","2012","spain","Getafe","Levante",1,1,2.16,3.4,4.2,NA,NA,NA,NA
"vBv3fxdk/","/soccer/france/ligue-1-2011-2012/lille-marseille-vBv3fxdk/",TRUE,2011-08-28,"F1","2012","france","Lille","Marseille",3,2,2.24,3.3,3.95,NA,NA,NA,NA
"YkFhV8sD/","/soccer/spain/primera-division-2011-2012/atl-madrid-osasuna-YkFhV8sD/",TRUE,2011-08-28,"SP1","2012","spain","Atletico Madrid","Osasuna",0,0,1.82,3.7,5.5,NA,NA,NA,NA
"zwnPZNYb/","/soccer/spain/primera-division-2011-2012/mallorca-espanyol-zwnPZNYb/",TRUE,2011-08-28,"SP1","2012","spain","Mallorca","Espanyol",1,0,2.27,3.4,3.8,NA,NA,NA,NA
"2mfCxQlt/","/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/",TRUE,2011-08-29,"SP1","2012","spain","Barcelona","Villarreal",5,0,1.18,8.8,21,NA,NA,NA,NA
"jLzeUf2l/","/soccer/germany/bundesliga-2011-2012/augsburg-bayer-leverkusen-jLzeUf2l/",TRUE,2011-09-09,"D1","2012","germany","FC Augsburg","Bayer Leverkusen",1,4,4.34,3.65,2,NA,NA,NA,NA
"W0scuwXc/","/soccer/italy/serie-a-2011-2012/ac-milan-lazio-W0scuwXc/",TRUE,2011-09-09,"I1","2012","italy","AC Milan","Lazio",2,2,1.64,3.85,7.4,NA,NA,NA,NA
"6qJCozm1/","/soccer/england/premier-league-2011-2012/wolves-tottenham-6qJCozm1/",FALSE,2011-09-10,"E0","2012","england","Wolves","Tottenham",0,2,2.8,3.64,2.74,NA,NA,NA,NA
"8CDrVzmr/","/soccer/germany/bundesliga-2011-2012/b-monchengladbach-kaiserslautern-8CDrVzmr/",TRUE,2011-09-10,"D1","2012","germany","Borussia Monchengladbach","Kaiserslautern",1,0,1.83,3.9,5,NA,NA,NA,NA
"8IIi5Zf1/","/soccer/france/ligue-1-2011-2012/dijon-lyon-8IIi5Zf1/",TRUE,2011-09-10,"F1","2012","france","Dijon FCO","Lyon",1,2,5.65,3.55,1.84,NA,NA,NA,NA
"8z2lWuYN/","/soccer/spain/primera-division-2011-2012/valencia-atl-madrid-8z2lWuYN/",TRUE,2011-09-10,"SP1","2012","spain","Valencia","Atletico Madrid",1,0,1.97,3.95,4.09,NA,NA,NA,NA
"bBByVmEG/","/soccer/spain/primera-division-2011-2012/real-madrid-getafe-bBByVmEG/",TRUE,2011-09-10,"SP1","2012","spain","Real Madrid","Getafe",4,2,1.09,14.2,37.6,NA,NA,NA,NA
