loc,lastmod,changefreq,priority,alternate,sitemap,news,image,video
https://www.bloomberg.com/news/articles/2020-03-30/working-from-home-gives-chipmakers-a-boost-while-others-suffer,2020-03-31 01:27:21.976000+00:00,always,1.0,android-app://com.bloomberg.android.plus/bbg-app/www.bloomberg.com/news/articles/2020-03-30/working-from-home-gives-chipmakers-a-boost-while-others-suffer,https://www.bloomberg.com/feeds/bbiz/sitemap_recent.xml,,,
https://www.bloomberg.com/news/articles/2020-03-30/virgin-australia-seeks-a-1-4-billion-state-aid-to-weather-crisis,2020-03-31 01:19:59.078000+00:00,always,1.0,android-app://com.bloomberg.android.plus/bbg-app/www.bloomberg.com/news/articles/2020-03-30/virgin-australia-seeks-a-1-4-billion-state-aid-to-weather-crisis,https://www.bloomberg.com/feeds/bbiz/sitemap_recent.xml,,,
https://www.bloomberg.com/news/articles/2020-03-30/china-adds-data-u-s-stay-home-order-unlikely-virus-update,2020-03-31 01:09:15.292000+00:00,always,1.0,android-app://com.bloomberg.android.plus/bbg-app/www.bloomberg.com/news/articles/2020-03-30/china-adds-data-u-s-stay-home-order-unlikely-virus-update,https://www.bloomberg.com/feeds/bbiz/sitemap_recent.xml,,,
https://www.bloomberg.com/news/articles/2020-03-30/australia-fires-warning-shot-on-foreign-suitors-amid-virus,2020-03-31 01:05:37.752000+00:00,always,1.0,android-app://com.bloomberg.android.plus/bbg-app/www.bloomberg.com/news/articles/2020-03-30/australia-fires-warning-shot-on-foreign-suitors-amid-virus,https://www.bloomberg.com/feeds/bbiz/sitemap_recent.xml,,,
https://www.bloomberg.com/news/articles/2020-03-30/police-investigate-break-in-at-dutch-art-museum,2020-03-31 00:51:43.236000+00:00,always,1.0,android-app://com.bloomberg.android.plus/bbg-app/www.bloomberg.com/news/articles/2020-03-30/police-investigate-break-in-at-dutch-art-museum,https://www.bloomberg.com/feeds/bbiz/sitemap_recent.xml,,,
https://www.bloomberg.com/news/articles/2020-03-30/pelosi-says-next-stimulus-needs-more-aid-for-states-workers,2020-03-31 00:43:03.041000+00:00,always,1.0,android-app://com.bloomberg.android.plus/bbg-app/www.bloomberg.com/news/articles/2020-03-30/pelosi-says-next-stimulus-needs-more-aid-for-states-workers,https://www.bloomberg.com/feeds/bbiz/sitemap_recent.xml,,,
https://www.bloomberg.com/news/articles/2020-03-30/southwest-ceo-seeks-cost-cuts-with-airline-living-day-to-day,2020-03-31 00:41:59.051000+00:00,always,1.0,android-app://com.bloomberg.android.plus/bbg-app/www.bloomberg.com/news/articles/2020-03-30/southwest-ceo-seeks-cost-cuts-with-airline-living-day-to-day,https://www.bloomberg.com/feeds/bbiz/sitemap_recent.xml,,,
https://www.bloomberg.com/news/articles/2020-03-31/zoom-sued-for-allegedly-illegally-disclosing-personal-data,2020-03-31 00:39:52.605000+00:00,always,1.0,android-app://com.bloomberg.android.plus/bbg-app/www.bloomberg.com/news/articles/2020-03-31/zoom-sued-for-allegedly-illegally-disclosing-personal-data,https://www.bloomberg.com/feeds/bbiz/sitemap_recent.xml,,,
https://www.bloomberg.com/news/audio/2020-03-31/wall-st-quietly-telling-companies-not-to-draw-loans-podcast,2020-03-31 00:32:41.596000+00:00,always,1.0,,https://www.bloomberg.com/feeds/bbiz/sitemap_recent.xml,,,
https://www.bloomberg.com/news/articles/2020-03-30/covidien-ventilator-merger-needs-new-look-ftc-official-says,2020-03-31 00:27:18.363000+00:00,always,1.0,android-app://com.bloomberg.android.plus/bbg-app/www.bloomberg.com/news/articles/2020-03-30/covidien-ventilator-merger-needs-new-look-ftc-official-says,https://www.bloomberg.com/feeds/bbiz/sitemap_recent.xml,,,
